iter	Logloss
0	0.5328392328
1	0.4287490913
2	0.358856773
3	0.3144769002
4	0.2835392739
5	0.2634827499
6	0.2490900474
7	0.2392612968
8	0.2318616387
9	0.2271269347
10	0.2235248996
11	0.2209473485
12	0.2193985926
13	0.2175707658
14	0.216148362
15	0.2151351392
16	0.2142855995
17	0.2135013599
18	0.2123667115
19	0.2118177239
20	0.2113374279
21	0.210950725
22	0.2104224677
23	0.2095603036
24	0.2092131283
25	0.2089092617
26	0.2081881609
27	0.2079170625
28	0.2076342325
29	0.2074421201
30	0.2069811844
31	0.2064023879
32	0.2061712161
33	0.2055999364
34	0.205374608
35	0.2052271485
36	0.2047517883
37	0.2042388006
38	0.2038502288
39	0.2035614234
40	0.2032779711
41	0.2031352227
42	0.2027716048
43	0.2025884707
44	0.2020597961
45	0.201949268
46	0.2015284096
47	0.2013790049
48	0.2012632512
49	0.2010666232
50	0.2006046921
51	0.2004586562
52	0.2000629585
53	0.1993495498
54	0.1992524435
55	0.1989071568
56	0.1987365147
57	0.1984604546
58	0.1982072655
59	0.1978576259
60	0.1978019038
61	0.1977001359
62	0.1975991398
63	0.1974713349
64	0.19735833
65	0.1971781514
66	0.197026901
67	0.1969330471
68	0.1966176068
69	0.1965408077
70	0.1964472816
71	0.1962957867
72	0.1959244038
73	0.1958094595
74	0.1954999264
75	0.195087062
76	0.194970665
77	0.1948234484
78	0.1945718546
79	0.1942329053
80	0.1941086002
81	0.1938426084
82	0.1935199002
83	0.1934430679
84	0.1933598519
85	0.1931382182
86	0.1928226559
87	0.1927186359
88	0.1923942386
89	0.1921774178
90	0.1919163465
91	0.1917893135
92	0.1916293031
93	0.1912439336
94	0.1910760832
95	0.1909821774
96	0.1907589382
97	0.1905853923
98	0.1904974082
99	0.1902436124
100	0.1901090469
101	0.1898253052
102	0.1895641256
103	0.1894232317
104	0.1893373117
105	0.1891281812
106	0.1889040209
107	0.1886657327
108	0.1884945237
109	0.1884240002
110	0.1882787212
111	0.1882047802
112	0.1880974837
113	0.1879924486
114	0.1878987538
115	0.1876608918
116	0.1875801745
117	0.1872515102
118	0.1870940185
119	0.1869427382
120	0.1868443174
121	0.1866667401
122	0.1865919308
123	0.1865204202
124	0.1863837105
125	0.1862490089
126	0.186070904
127	0.1860047378
128	0.1857820054
129	0.1856868135
130	0.1856274384
131	0.1855362743
132	0.1854112934
133	0.1853037557
134	0.1851276039
135	0.185012788
136	0.1849136222
137	0.1848014614
138	0.1847017712
139	0.1845548378
140	0.1843098298
141	0.1841859309
142	0.1839939329
143	0.1838100509
144	0.1836696805
145	0.1834780249
146	0.1833808146
147	0.1833194229
148	0.183213855
149	0.1830059089
150	0.1828875686
151	0.1828088315
152	0.1827382706
153	0.182638966
154	0.1825647042
155	0.1824919104
156	0.1824079865
157	0.1823047115
158	0.1822707913
159	0.1821918258
160	0.1820848944
161	0.1820088324
162	0.1819790415
163	0.1819338644
164	0.1817638354
165	0.1815921628
166	0.1814798087
167	0.181422189
168	0.1813307206
169	0.181189347
170	0.181113351
171	0.1810167537
172	0.1808707957
173	0.1805950634
174	0.1805161597
175	0.1803808284
176	0.1802793272
177	0.1801506426
178	0.180067559
179	0.1800215755
180	0.1799552561
181	0.1798611787
182	0.1797854349
183	0.1796978662
184	0.1795853658
185	0.1794823826
186	0.1794236663
187	0.1793118021
188	0.1791869901
189	0.1790235878
190	0.1789086232
191	0.1788531267
192	0.1787205827
193	0.178610372
194	0.1784814354
195	0.1783829596
196	0.1782928081
197	0.1781836225
198	0.1780977285
199	0.1780190598
200	0.1778923559
201	0.1777775805
202	0.1776292845
203	0.1775305822
204	0.1774459978
205	0.1772945667
206	0.1770876934
207	0.1769527046
208	0.176866608
209	0.1767730269
210	0.1765879762
211	0.1764622279
212	0.1763378092
213	0.1762143014
214	0.1761820041
215	0.1761373354
216	0.1760448652
217	0.1759529187
218	0.1758864199
219	0.1758218993
220	0.1757436204
221	0.1756867026
222	0.1755441769
223	0.1754614064
224	0.1753752314
225	0.1753260891
226	0.1751819982
227	0.1751401166
228	0.1750842487
229	0.1749573353
230	0.174862199
231	0.1747830144
232	0.1747245893
233	0.1746836505
234	0.1746208328
235	0.1745753221
236	0.1745262689
237	0.1744032012
238	0.1743249819
239	0.1742570943
240	0.1742103921
241	0.1741521074
242	0.1740738978
243	0.1739972803
244	0.1738617847
245	0.1737633928
246	0.1736404413
247	0.1735790637
248	0.1735324089
249	0.1734219747
250	0.1733470156
251	0.1732948541
252	0.1732600828
253	0.1732156475
254	0.1731132241
255	0.1730644878
256	0.1729756197
257	0.1728786518
258	0.1727970754
259	0.1727320187
260	0.17265647
261	0.1725826824
262	0.1725225505
263	0.1724562363
264	0.1723703468
265	0.172326086
266	0.1722669278
267	0.1722093698
268	0.1721509148
269	0.1720646826
270	0.171963817
271	0.1718969203
272	0.1718395678
273	0.1718111058
274	0.1717580441
275	0.171693081
276	0.1716447204
277	0.1715594
278	0.1714744999
279	0.1714115672
280	0.1713471401
281	0.1712874593
282	0.1712368249
283	0.1711194609
284	0.1710163733
285	0.1709397395
286	0.1708718419
287	0.1707999693
288	0.1707485003
289	0.1706892922
290	0.1705935484
291	0.1705367825
292	0.1704873405
293	0.1704219238
294	0.170369455
295	0.1703120334
296	0.1702878611
297	0.1702573766
298	0.1701833942
299	0.170120321
300	0.1700652597
301	0.1699607678
302	0.169930574
303	0.1698795105
304	0.1698132144
305	0.1697656447
306	0.1697008119
307	0.1696637608
308	0.1696145361
309	0.1694690288
310	0.169387915
311	0.1693259259
312	0.1692441249
313	0.1691570982
314	0.1691428565
315	0.1690698138
316	0.169008576
317	0.1689435564
318	0.1688821553
319	0.1687894445
320	0.1687393282
321	0.1686652399
322	0.1686340032
323	0.1685674866
324	0.1685365925
325	0.1684952209
326	0.1684335569
327	0.1683224372
328	0.168271731
329	0.1682263007
330	0.1681822486
331	0.1681310401
332	0.1680301546
333	0.1679697228
334	0.1679218509
335	0.1678531094
336	0.1678172891
337	0.1677618427
338	0.1676907127
339	0.1676499868
340	0.1676254204
341	0.167562783
342	0.167498494
343	0.167472776
344	0.167410676
345	0.1673723583
346	0.1673196444
347	0.1672753557
348	0.1672299461
349	0.1671551687
350	0.1670739065
351	0.1670040502
352	0.1669224208
353	0.1668556422
354	0.1668001874
355	0.1667539927
356	0.1666831746
357	0.1665891554
358	0.1665490126
359	0.1665017259
360	0.1664438448
361	0.1663922818
362	0.1663462022
363	0.1662948169
364	0.1662664893
365	0.1662247904
366	0.166131045
367	0.1660767726
368	0.166031278
369	0.1659691508
370	0.1659210803
371	0.1658394419
372	0.165772989
373	0.1657125357
374	0.1656880016
375	0.1656364983
376	0.1656044986
377	0.1655551492
378	0.165526309
379	0.1654890615
380	0.1654378941
381	0.1654123654
382	0.1653681823
383	0.165265081
384	0.1651707004
385	0.1651448586
386	0.1650675797
387	0.1650037781
388	0.1649706712
389	0.1649332579
390	0.1648492487
391	0.1647508683
392	0.1647160354
393	0.1646414071
394	0.1646070858
395	0.1645653569
396	0.1645311564
397	0.1644907716
398	0.1643836445
399	0.1643682337
400	0.1643253473
401	0.1642653684
402	0.164217609
403	0.1641791709
404	0.164053402
405	0.1639853009
406	0.1639071474
407	0.1638709172
408	0.1638255253
409	0.1637864655
410	0.1637522377
411	0.1637075744
412	0.1636785789
413	0.1636250526
414	0.1635696495
415	0.1635132298
416	0.163465573
417	0.1634068373
418	0.1633373062
419	0.1632856309
420	0.1632382268
421	0.163196185
422	0.1631129287
423	0.1630578046
424	0.163025382
425	0.1629423806
426	0.1628959961
427	0.1628557972
428	0.1628219901
429	0.1627755105
430	0.1627160563
431	0.1626784488
432	0.1626448198
433	0.1626209858
434	0.1625803502
435	0.1625369904
436	0.1624928449
437	0.1624535341
438	0.1624081649
439	0.1623684753
440	0.1623135801
441	0.1622546716
442	0.1621798209
443	0.1621350968
444	0.1620994471
445	0.1620171906
446	0.1619689942
447	0.1619263673
448	0.1619030222
449	0.1618635694
450	0.1618110734
451	0.1617699692
452	0.1617374563
453	0.1616993827
454	0.1616624747
455	0.1616190406
456	0.1615835032
457	0.1615675323
458	0.1615307083
459	0.1615146342
460	0.161452618
461	0.1614112312
462	0.1613723786
463	0.1613173968
464	0.1612636742
465	0.16122646
466	0.1611317245
